Date,Sandisk (Price),Sandisk (Volume),AAPL (Price),AAPL (Volume)
2018-01-02,,,40.341888427734375,102223600
2018-01-03,,,40.33486557006836,118071600
2018-01-04,,,40.52223205566406,89738400
2018-01-05,,,40.983585357666016,94640000
2018-01-08,,,40.83134460449219,82271200
2018-01-09,,,40.82666778564453,86336000
2018-01-10,,,40.817291259765625,95839600
2018-01-11,,,41.04915237426758,74670800
2018-01-12,,,41.47303771972656,101672400
2018-01-16,,,41.26226043701172,118263600
2018-01-17,,,41.94375991821289,137547200
2018-01-18,,,41.981239318847656,124773600
2018-01-19,,,41.793888092041016,129700400
2018-01-22,,,41.45195388793945,108434400
2018-01-23,,,41.46132278442383,130756400
2018-01-24,,,40.8009033203125,204420400
2018-01-25,,,40.072566986083984,166116000
2018-01-26,,,40.166229248046875,156572000
2018-01-29,,,39.33485412597656,202561600
2018-01-30,,,39.10300827026367,184192800
2018-01-31,,,39.21075439453125,129915600
2018-02-01,,,39.292720794677734,188923200
2018-02-02,,,37.58779525756836,346375200
2018-02-05,,,36.648685455322266,290954000
2018-02-06,,,38.18029022216797,272975200
2018-02-07,,,37.362972259521484,206434400
2018-02-08,,,36.334861755371094,217562000
2018-02-09,,,36.77930450439453,282690400
2018-02-12,,,38.26072311401367,243278000
2018-02-13,,,38.644012451171875,130196800
2018-02-14,,,39.35649490356445,162579600
2018-02-15,,,40.67802429199219,204588800
2018-02-16,,,40.54633712768555,160704400
2018-02-20,,,40.40995407104492,135722000
2018-02-21,,,40.22654342651367,149886400
2018-02-22,,,40.56279373168945,123967600
2018-02-23,,,41.26824188232422,135249600
2018-02-26,,,42.084197998046875,152648800
2018-02-27,,,41.94780349731445,155712400
2018-02-28,,,41.884334564208984,151128400
2018-03-01,,,41.15067672729492,195208000
2018-03-02,,,41.43519973754883,153816000
2018-03-05,,,41.57863998413086,113605600
2018-03-06,,,41.543365478515625,95154000
2018-03-07,,,41.157718658447266,126814000
2018-03-08,,,41.60685348510742,95096400
2018-03-09,,,42.321693420410156,128740800
2018-03-12,,,42.73086166381836,128828400
2018-03-13,,,42.31935119628906,126774000
2018-03-14,,,41.959571838378906,117473600
2018-03-15,,,42.00895690917969,90975200
2018-03-16,,,41.86080551147461,157618800
2018-03-19,,,41.2212028503418,133787200
2018-03-20,,,41.20710754394531,78597600
2018-03-21,,,40.273563385009766,148219600
2018-03-22,,,39.70450973510742,165963200
2018-03-23,,,38.785099029541016,164115200
2018-03-26,,,40.626285552978516,150164800
2018-03-27,,,39.58460235595703,163690400
2018-03-28,,,39.147212982177734,166674000
2018-03-29,,,39.45291519165039,153594000
2018-04-02,,,39.19425582885742,150347200
2018-04-03,,,39.596351623535156,121112000
2018-04-04,,,40.353515625,138422000
2018-04-05,,,40.633358001708984,107732800
2018-04-06,,,39.593990325927734,140021200
2018-04-09,,,39.986698150634766,116070800
2018-04-10,,,40.7391471862793,113634400
2018-04-11,,,40.54867935180664,89726400
2018-04-12,,,40.948448181152344,91557200
2018-04-13,,,41.087181091308594,100497200
2018-04-16,,,41.3434944152832,86313600
2018-04-17,,,41.91255187988281,106421600
2018-04-18,,,41.8184814453125,83018000
2018-04-19,,,40.633358001708984,139235200
2018-04-20,,,38.96851348876953,261964400
2018-04-23,,,38.85564041137695,146062000
2018-04-24,,,38.31480026245117,134768000
2018-04-25,,,38.481746673583984,113528400
2018-04-26,,,38.61578369140625,111852000
2018-04-27,,,38.16900634765625,142623200
2018-04-30,,,38.860347747802734,169709600
2018-05-01,,,39.76332092285156,214277600
2018-05-02,,,41.51984405517578,266157600
2018-05-03,,,41.59510040283203,136272800
2018-05-04,,,43.227020263671875,224805200
2018-05-07,,,43.539764404296875,169805600
2018-05-08,,,43.749046325683594,113611200
2018-05-09,,,44.057098388671875,92844800
2018-05-10,,,44.687278747558594,111957200
2018-05-11,,,44.51731491088867,104848800
2018-05-14,,,44.413448333740234,83115200
2018-05-15,,,44.00979995727539,94780800
2018-05-16,,,44.4205322265625,76732400
2018-05-17,,,44.13964080810547,69176000
2018-05-18,,,43.979122161865234,73190800
2018-05-21,,,44.29070281982422,73603200
2018-05-22,,,44.17976760864258,60962800
2018-05-23,,,44.463035583496094,80233600
2018-05-24,,,44.413448333740234,92936000
2018-05-25,,,44.51495361328125,69844000
2018-05-29,,,44.354434967041016,90056400
2018-05-30,,,44.260013580322266,74762000
2018-05-31,,,44.11128616333008,109931200
2018-06-01,,,44.90681076049805,93770000
2018-06-04,,,45.28212356567383,105064800
2018-06-05,,,45.63148880004883,86264000
2018-06-06,,,45.789642333984375,83734400
2018-06-07,,,45.66688919067383,85388800
2018-06-08,,,45.25143814086914,106627200
2018-06-11,,,45.140499114990234,73234000
2018-06-12,,,45.38835144042969,67644400
2018-06-13,,,45.01538848876953,86553600
2018-06-14,,,45.03900146484375,86440400
2018-06-15,,,44.57632064819336,246876800
2018-06-18,,,44.55272674560547,73939600
2018-06-19,,,43.8327522277832,134314000
2018-06-20,,,44.02397155761719,82514800
2018-06-21,,,43.778472900390625,102847600
2018-06-22,,,43.651004791259766,108801600
2018-06-25,,,43.00185012817383,126652400
2018-06-26,,,43.53533935546875,98276800
2018-06-27,,,43.47160720825195,101141200
2018-06-28,,,43.78791427612305,69460800
2018-06-29,,,43.69585418701172,90950800
2018-07-02,,,44.18448257446289,70925200
2018-07-03,,,43.414947509765625,55819200
2018-07-05,,,43.76430892944336,66416800
2018-07-06,,,44.3709602355957,69940800
2018-07-09,,,44.987060546875,79026400
2018-07-10,,,44.93276596069336,63756400
2018-07-11,,,44.34971618652344,75326000
2018-07-12,,,45.093292236328125,72164400
2018-07-13,,,45.164093017578125,50055600
2018-07-16,,,45.0649528503418,60172400
2018-07-17,,,45.19243240356445,62138000
2018-07-18,,,44.9445686340332,65573600
2018-07-19,,,45.2939338684082,81147200
2018-07-20,,,45.19007110595703,82704800
2018-07-23,,,45.23019790649414,63957600
2018-07-24,,,45.55831527709961,74791600
2018-07-25,,,45.98793029785156,66839600
2018-07-26,,,45.843929290771484,76304000
2018-07-27,,,45.081485748291016,96096000
2018-07-30,,,44.828895568847656,84118000
2018-07-31,,,44.91859817504883,157492000
2018-08-01,,,47.56476593017578,271742800
2018-08-02,,,48.95513153076172,249616000
2018-08-03,,,49.09675979614258,133789600
2018-08-06,,,49.3516960144043,101701600
2018-08-07,,,48.889034271240234,102349600
2018-08-08,,,48.92206573486328,90102000
2018-08-09,,,49.306846618652344,93970400
2018-08-10,,,49.15998077392578,98444800
2018-08-13,,,49.47739028930664,103563600
2018-08-14,,,49.685855865478516,82992000
2018-08-15,,,49.80192184448242,115230400
2018-08-16,,,50.53151321411133,114001600
2018-08-17,,,51.54063415527344,141708000
2018-08-20,,,51.0384407043457,121150800
2018-08-21,,,50.93894577026367,104639200
2018-08-22,,,50.941322326660156,76072400
2018-08-23,,,51.045555114746094,75532800
2018-08-24,,,51.204254150390625,73905600
2018-08-27,,,51.62590789794922,82100400
2018-08-28,,,52.042823791503906,91107200
2018-08-29,,,52.81978988647461,109019200
2018-08-30,,,53.30539321899414,195175200
2018-08-31,,,53.92127990722656,173360400
2018-09-04,,,54.09421920776367,109560400
2018-09-05,,,53.74126052856445,133332000
2018-09-06,,,52.84822082519531,137160000
2018-09-07,,,52.421836853027344,150479200
2018-09-10,,,51.718284606933594,158066000
2018-09-11,,,53.02588653564453,142996000
2018-09-12,,,52.367347717285156,197114800
2018-09-13,,,53.632286071777344,166825600
2018-09-14,,,53.02351760864258,127997200
2018-09-17,,,51.611698150634766,148780400
2018-09-18,,,51.69696807861328,126286800
2018-09-19,,,51.727779388427734,108495200
2018-09-20,,,52.12098693847656,106435200
2018-09-21,,,51.55957794189453,384986800
2018-09-24,,,52.30101776123047,110773600
2018-09-25,,,52.632652282714844,98217600
2018-09-26,,,52.2133674621582,95938800
2018-09-27,,,53.28644561767578,120724800
2018-09-28,,,53.47358322143555,91717600
2018-10-01,,,53.83363723754883,94403200
2018-10-02,,,54.3121452331543,99152800
