Date,원유(미국) (Price),원유(미국) (Volume),하나투어 (Price),하나투어 (Volume)
2025-10-13,59.4900016784668,339103.0,47650.0,83713.0
2025-10-14,58.70000076293945,259200.0,47200.0,122860.0
2025-10-15,58.27000045776367,224919.0,47900.0,81772.0
2025-10-16,57.459999084472656,203866.0,47350.0,83883.0
2025-10-17,57.540000915527344,108748.0,46900.0,100368.0
2025-10-20,57.52000045776367,108146.0,46950.0,86686.0
2025-10-21,57.81999969482422,314207.0,46750.0,76310.0
2025-10-22,58.5,378637.0,47000.0,44140.0
2025-10-23,61.790000915527344,735186.0,46850.0,38708.0
2025-10-24,61.5,373744.0,47050.0,47262.0
2025-10-27,61.310001373291016,272191.0,47350.0,57408.0
2025-10-28,60.150001525878906,307568.0,47500.0,39347.0
2025-10-29,60.47999954223633,276875.0,47600.0,67588.0
2025-10-30,60.56999969482422,247917.0,47650.0,72461.0
2025-10-31,60.97999954223633,278598.0,47700.0,99396.0
2025-11-03,61.04999923706055,0.0,46650.0,114886.0
2025-11-04,60.560001373291016,219300.0,46400.0,73858.0
2025-11-05,59.599998474121094,292518.0,45550.0,90108.0
2025-11-06,59.43000030517578,277768.0,45900.0,63020.0
2025-11-07,59.75,259446.0,45950.0,56314.0
2025-11-10,60.130001068115234,222879.0,46700.0,43424.0
2025-11-11,61.040000915527344,264427.0,46250.0,44694.0
2025-11-12,58.4900016784668,329517.0,46850.0,36801.0
2025-11-13,58.689998626708984,247349.0,46850.0,48766.0
2025-11-14,60.09000015258789,334116.0,46250.0,38529.0
2025-11-17,59.90999984741211,189638.0,46500.0,66670.0
2025-11-18,60.7400016784668,105325.0,46450.0,139787.0
2025-11-19,59.439998626708984,79622.0,47650.0,285580.0
2025-11-20,59.13999938964844,324282.0,48150.0,118870.0
2025-11-21,58.060001373291016,345014.0,48000.0,75608.0
2025-11-24,58.84000015258789,345014.0,47400.0,94477.0
2025-11-25,58.08000183105469,590.0,46850.0,84215.0
