Date,엔비디아 (Close),엔비디아 (Volume),Sandisk (Close),Sandisk (Volume)
2025-01-02,138.27987670898438,198247200,,
2025-01-03,144.43853759765625,229322500,,
2025-01-06,149.39744567871094,265377400,,
2025-01-07,140.10946655273438,351782200,,
2025-01-08,140.07948303222656,227349900,,
2025-01-10,135.8804168701172,207602500,,
2025-01-13,133.20098876953125,204808900,,
2025-01-14,131.73129272460938,195590500,,
2025-01-15,136.21034240722656,185217300,,
2025-01-16,133.54090881347656,209235600,,
2025-01-17,137.6800079345703,201188800,,
2025-01-21,140.79933166503906,197749000,,
2025-01-22,147.03799438476562,237651400,,
2025-01-23,147.1879425048828,155915500,,
2025-01-24,142.58892822265625,234657600,,
2025-01-27,118.39421081542969,818830900,,
2025-01-28,128.9619140625,579666400,,
2025-01-29,123.67305755615234,467120600,,
2025-01-30,124.62285614013672,392925500,,
2025-01-31,120.04385375976562,388161100,,
2025-02-03,116.63459777832031,371235700,,
2025-02-04,118.62416076660156,256550000,,
2025-02-05,124.80281066894531,262230800,,
2025-02-06,128.65194702148438,251483600,,
2025-02-07,129.81170654296875,228186300,,
2025-02-10,133.54090881347656,216989100,,
2025-02-11,132.77108764648438,178902400,,
2025-02-12,131.11143493652344,160278600,,
2025-02-13,135.26052856445312,197430000,36.0,369100.0
2025-02-14,138.81976318359375,195479600,36.650001525878906,242700.0
2025-02-18,139.36964416503906,219176600,47.150001525878906,444500.0
2025-02-19,139.19967651367188,167536000,46.0,220700.0
2025-02-20,140.07948303222656,143903600,48.2599983215332,446200.0
2025-02-21,134.4007110595703,228217600,50.369998931884766,1252100.0
2025-02-24,130.2516326904297,251381100,48.599998474121094,33848500.0
2025-02-25,126.60242462158203,271428700,48.15999984741211,8198900.0
2025-02-26,131.2514190673828,322553800,46.58000183105469,8389000.0
2025-02-27,120.12384033203125,443175800,45.15999984741211,9676100.0
2025-02-28,124.89279174804688,389091100,46.849998474121094,7713800.0
2025-03-03,114.03515625,411381400,50.310001373291016,4813000.0
2025-03-04,115.96473693847656,398163300,48.689998626708984,6074700.0
2025-03-05,117.27445983886719,284337900,48.470001220703125,5071800.0
2025-03-06,110.5459213256836,321181900,46.5,4157300.0
2025-03-07,112.66545867919922,341755500,51.0,7825500.0
2025-03-10,106.95669555664062,366487400,53.0,5223800.0
2025-03-11,108.73631286621094,354865700,52.15999984741211,3153400.0
2025-03-12,115.7254409790039,323857500,50.439998626708984,2177500.0
2025-03-13,115.56546020507812,299033100,48.439998626708984,3547400.0
2025-03-14,121.65469360351562,277593500,54.81999969482422,4847600.0
2025-03-17,119.51496124267578,255501500,55.650001525878906,2930700.0
2025-03-18,115.41547393798828,299686900,56.41999816894531,2587300.0
2025-03-19,117.50520324707031,273426200,56.33000183105469,2520700.0
2025-03-20,118.51508331298828,248829700,56.209999084472656,2701900.0
2025-03-21,117.68518829345703,266498500,53.959999084472656,6372200.0
2025-03-24,121.39472961425781,228452500,52.9900016784668,3562800.0
2025-03-25,120.67481994628906,167447200,52.20000076293945,3079000.0
2025-03-26,113.74568939208984,293463300,52.619998931884766,1242400.0
2025-03-27,111.41597747802734,236902100,52.880001068115234,1618100.0
2025-03-28,109.65619659423828,229872500,48.970001220703125,3987300.0
2025-03-31,108.36636352539062,299212700,47.61000061035156,2113400.0
2025-04-01,110.13614654541016,222614000,48.11000061035156,2115600.0
2025-04-02,110.4061050415039,220601200,47.66999816894531,1725300.0
2025-04-03,101.78720092773438,338769400,38.2599983215332,7372000.0
2025-04-04,94.29813385009766,532273800,30.110000610351562,11428600.0
2025-04-07,97.6277084350586,611041300,31.479999542236328,6238600.0
2025-04-08,96.28788757324219,476243400,32.349998474121094,5979600.0
2025-04-09,114.31561279296875,612918300,36.58000183105469,5601600.0
2025-04-10,107.55646514892578,437812400,31.075000762939453,4153400.0
2025-04-11,110.9160385131836,313417300,31.969999313354492,4856000.0
2025-04-14,110.6960678100586,264705000,33.54999923706055,4102300.0
2025-04-15,112.18588256835938,228966900,33.22999954223633,1936800.0
2025-04-16,104.47685241699219,397016900,32.029998779296875,2321000.0
2025-04-17,101.47722625732422,292517500,31.290000915527344,2057200.0
2025-04-21,96.89781188964844,288501100,29.809999465942383,2579400.0
2025-04-22,98.87755584716797,241004800,29.6200008392334,2883700.0
2025-04-23,102.69707489013672,247526000,30.360000610351562,2750200.0
2025-04-24,106.4166030883789,220815000,32.290000915527344,2590500.0
2025-04-25,110.99604034423828,251064700,32.849998474121094,1322100.0
2025-04-28,108.71631622314453,207708500,32.27000045776367,1421000.0
2025-04-29,109.00627899169922,170444300,32.939998626708984,1385900.0
2025-04-30,108.90629577636719,235044600,32.11000061035156,2322100.0
2025-05-01,111.59595489501953,236121500,32.59000015258789,1910200.0
2025-05-02,114.485595703125,190194800,34.400001525878906,2193700.0
2025-05-05,113.80567932128906,133163200,34.61000061035156,1993800.0
2025-05-06,113.52571868896484,158525600,33.83000183105469,1707600.0
2025-05-07,117.04527282714844,206758800,34.970001220703125,3640000.0
2025-05-08,117.35523986816406,198428100,36.65999984741211,4969000.0
2025-05-09,116.63532257080078,132972200,37.7400016784668,2039200.0
2025-05-12,122.98452758789062,225023300,41.27000045776367,5374400.0
2025-05-13,129.9136505126953,330430100,42.0,2186700.0
2025-05-14,135.32296752929688,281180800,41.93000030517578,1828400.0
2025-05-15,134.8130340576172,226632600,40.540000915527344,1930800.0
2025-05-16,135.38296508789062,226542500,40.439998626708984,2132500.0
2025-05-19,135.55294799804688,193154600,38.779998779296875,1765400.0
2025-05-20,134.36309814453125,161514200,40.18000030517578,1756400.0
2025-05-21,131.78341674804688,270608700,38.599998474121094,1816200.0
2025-05-22,132.81329345703125,187344000,37.84000015258789,1764900.0
2025-05-23,131.2734832763672,198821300,37.279998779296875,1232900.0
2025-05-27,135.48294067382812,192953600,38.18000030517578,1411000.0
2025-05-28,134.7930450439453,304021100,38.58000183105469,1055800.0
2025-05-29,139.17250061035156,369241900,38.599998474121094,1501900.0
2025-05-30,135.11300659179688,333170900,37.689998626708984,5499600.0
2025-06-02,137.3627166748047,197663100,37.33000183105469,1621000.0
2025-06-03,141.2022247314453,225578800,38.63999938964844,1294000.0
2025-06-04,141.9021453857422,167120800,39.81999969482422,1860500.0
2025-06-05,139.97239685058594,231397900,39.119998931884766,5456000.0
2025-06-06,141.70216369628906,153986200,39.150001525878906,10955500.0
2025-06-09,142.612060546875,185114500,41.81999969482422,10990300.0
2025-06-10,143.94189453125,155881900,41.59000015258789,4056300.0
2025-06-11,142.8219451904297,167694000,40.22999954223633,3891800.0
2025-06-12,144.9918212890625,162365000,41.29999923706055,2052000.0
2025-06-13,141.9619903564453,180820600,42.5,2755900.0
2025-06-16,144.6818389892578,183133700,44.209999084472656,2901800.0
2025-06-17,144.1118621826172,139108000,44.09000015258789,2914900.0
2025-06-18,145.47178649902344,161494100,46.619998931884766,3351400.0
2025-06-20,143.84188842773438,242956200,46.58000183105469,4762700.0
2025-06-23,144.161865234375,154308900,46.95000076293945,1791600.0
2025-06-24,147.8916473388672,187566100,47.34000015258789,1740600.0
2025-06-25,154.30130004882812,269146500,47.25,2357900.0
2025-06-26,155.01126098632812,198145700,47.439998626708984,3449600.0
2025-06-27,157.74110412597656,263234500,47.150001525878906,3624000.0
2025-06-30,157.98109436035156,194580300,45.349998474121094,3034600.0
2025-07-01,153.29136657714844,213143600,44.959999084472656,2893400.0
2025-07-02,157.2411346435547,171224100,46.209999084472656,3509400.0
2025-07-03,159.3310089111328,143716100,46.40999984741211,1441600.0
2025-07-07,158.2310791015625,140139000,45.220001220703125,2446100.0
2025-07-08,159.99098205566406,138133000,46.16999816894531,2347200.0
2025-07-09,162.87081909179688,183656400,46.20000076293945,1575100.0
