Date,엔비디아 (Price),하이닉스 (Price)
2018-01-02,4.928807258605957,69551.1015625
2018-01-03,5.2531914710998535,70549.8828125
2018-01-04,5.280882358551025,70005.1015625
2018-01-05,5.325634956359863,72002.65625
2018-01-08,5.488814353942871,71003.8828125
2018-01-09,5.487331390380859,69823.5078125
2018-01-10,5.5303521156311035,66191.5859375
2018-01-11,5.540242671966553,65919.1875
2018-01-12,5.513044834136963,67553.5546875
2018-01-15,,66009.9921875
2018-01-16,5.442084789276123,67553.5546875
2018-01-17,5.556065559387207,67281.15625
2018-01-18,5.549142360687256,68279.953125
2018-01-19,5.689330577850342,66554.765625
2018-01-22,5.777842998504639,64557.2421875
2018-01-23,5.906903266906738,64738.84375
2018-01-24,5.830010890960693,65737.609375
2018-01-25,5.843610763549805,68824.734375
2018-01-26,6.016185283660889,68552.328125
2018-01-29,6.103217124938965,68370.7265625
2018-01-30,6.00110387802124,66373.1796875
2018-01-31,6.077255725860596,66736.390625
2018-02-01,5.946215629577637,67553.5546875
2018-02-02,5.773640155792236,65556.0078125
2018-02-05,5.283602714538574,63740.0546875
2018-02-06,5.577328205108643,63740.0546875
2018-02-07,5.656940937042236,64557.2421875
2018-02-08,5.378049850463867,67099.5703125
2018-02-09,5.738036155700684,66645.5703125
2018-02-12,5.637903213500977,67644.359375
2018-02-13,5.751636981964111,70549.8828125
2018-02-14,5.968963623046875,70459.078125
2018-02-15,6.0945611000061035,
2018-02-16,6.028797149658203,
2018-02-19,,69460.296875
2018-02-20,6.158351898193359,68552.328125
2018-02-21,5.971188068389893,69823.5078125
2018-02-22,5.990732669830322,68915.515625
2018-02-23,6.084247589111328,70186.6953125
2018-02-26,6.1003289222717285,70368.2890625
2018-02-27,6.087464332580566,71457.84375
2018-02-28,5.987021446228027,69732.734375
2018-03-01,5.74481725692749,
2018-03-02,5.851943016052246,70277.5
2018-03-05,5.829923152923584,71094.671875
2018-03-06,5.990978240966797,74817.375
2018-03-07,5.983060836791992,75089.765625
2018-03-08,5.966735363006592,75816.1484375
2018-03-09,6.069405555725098,75634.5625
2018-03-12,6.179001808166504,77087.3203125
2018-03-13,6.128287315368652,81718.015625
2018-03-14,6.153765678405762,82353.5859375
2018-03-15,6.168610095977783,81354.8203125
2018-03-16,6.196814060211182,81536.40625
2018-03-19,5.962279319763184,81627.2265625
2018-03-20,6.1745476722717285,81354.8203125
2018-03-21,6.149313926696777,80265.2421875
2018-03-22,5.983310222625732,80446.84375
2018-03-23,5.7636213302612305,75452.96875
2018-03-26,6.048374652862549,76270.140625
2018-03-27,5.579309463500977,73909.3984375
2018-03-28,5.476144313812256,72910.6328125
2018-03-29,5.72947883605957,72910.6328125
2018-03-30,,73818.609375
2018-04-02,5.468723297119141,73818.609375
2018-04-03,5.575103759765625,74272.6015625
2018-04-04,5.5971221923828125,73001.4140625
2018-04-05,5.476886749267578,75271.3671875
2018-04-06,5.300492286682129,72910.6328125
2018-04-09,5.329190731048584,73183.015625
2018-04-10,5.638437271118164,73001.4140625
2018-04-11,5.5971221923828125,73727.8046875
2018-04-12,5.803946495056152,76270.140625
2018-04-13,5.727254867553711,76451.734375
2018-04-16,5.727007865905762,76270.140625
2018-04-17,5.876681804656982,75180.5625
2018-04-18,5.84773588180542,76814.9375
2018-04-19,5.666393280029297,79811.2578125
2018-04-20,5.658229827880859,76633.3125
2018-04-23,5.538736820220947,76633.3125
2018-04-24,5.472434043884277,74544.9921875
2018-04-25,5.3601155281066895,74817.375
2018-04-26,5.571888446807861,78540.0859375
2018-04-27,5.599349021911621,79084.8671875
2018-04-30,5.563971996307373,76724.1328125
2018-05-01,5.619389057159424,
2018-05-02,5.598855972290039,75452.96875
2018-05-03,5.7641143798828125,75271.3671875
2018-05-04,5.914285659790039,75362.171875
2018-05-07,6.152283191680908,
2018-05-08,6.194835186004639,75816.1484375
2018-05-09,6.327934741973877,75725.359375
2018-05-10,6.435551166534424,77904.515625
2018-05-11,6.29701042175293,78176.8984375
2018-05-14,6.317545413970947,77541.3203125
2018-05-15,6.075094223022461,76814.9375
2018-05-16,6.086227893829346,78994.09375
2018-05-17,6.128287315368652,78721.6875
2018-05-18,6.084495544433594,79811.2578125
2018-05-21,6.04243803024292,80900.828125
2018-05-22,6.004341125488281,
2018-05-23,6.127866744995117,86530.296875
2018-05-24,6.131579875946045,85894.71875
2018-05-25,6.1709418296813965,86439.515625
2018-05-28,,85803.90625
2018-05-29,6.153858184814453,86076.296875
2018-05-30,6.262782096862793,86257.890625
2018-05-31,6.242978572845459,84805.1328125
2018-06-01,6.3773980140686035,82989.1796875
2018-06-04,6.556377410888672,81536.40625
2018-06-05,6.56182336807251,82625.984375
2018-06-06,6.563802719116211,
2018-06-07,6.508103847503662,82535.1953125
2018-06-08,6.492757320404053,80265.2421875
2018-06-11,6.451663970947266,80991.6328125
2018-06-12,6.500184059143066,80265.2421875
2018-06-13,6.495726108551025,
2018-06-14,6.607372283935547,78358.5
2018-06-15,6.566527366638184,78994.09375
2018-06-18,6.562317371368408,76270.140625
2018-06-19,6.440524101257324,76360.9375
2018-06-20,6.493499279022217,79720.4765625
2018-06-21,6.364772319793701,80356.046875
2018-06-22,6.212281227111816,81264.0234375
2018-06-25,5.919430255889893,76996.53125
2018-06-26,5.990476131439209,76542.546875
2018-06-27,5.835262775421143,77359.7265625
2018-06-28,5.9625043869018555,75816.1484375
2018-06-29,5.864473342895508,77813.6953125
2018-07-02,5.996664524078369,75997.75
2018-07-03,5.862987518310547,78176.8984375
2018-07-04,,77178.1171875
