Date,금 시세 (Close),S&P500 (Close),NASDAQ (Close),KOSPI (Close),엔비디아 (Close),Sandisk (Close),TSMC (Close),삼성전자 (Close),하이닉스 (Close),NAVER (Close),KRW/USD 환율 (Close)
2018-01-01,,,,,,,,,,,1066.0699462890625
2018-01-02,1313.699951171875,2695.81005859375,7006.89990234375,2479.64990234375,4.928806781768799,,33.939720153808594,41492.0078125,69551.109375,172997.625,1065.219970703125
2018-01-03,1316.199951171875,2713.06005859375,7065.52978515625,2486.35009765625,5.253191947937012,,34.51063919067383,41979.97265625,70549.890625,170260.921875,1062.5400390625
2018-01-04,1319.4000244140625,2723.989990234375,7077.91015625,2466.4599609375,5.280882835388184,,34.32859420776367,41540.796875,70005.1015625,174561.421875,1063.93994140625
2018-01-05,1320.300048828125,2743.14990234375,7136.56005859375,2497.52001953125,5.325634956359863,,35.13117980957031,42386.6015625,72002.6484375,177493.578125,1061.0799560546875
2018-01-08,1318.5999755859375,2747.7099609375,7157.39013671875,2513.280029296875,5.488814830780029,,35.1146240234375,42305.26953125,71003.875,185703.640625,1060.5
2018-01-09,1311.699951171875,2751.2900390625,7163.580078125,2510.22998046875,5.487330436706543,,34.899505615234375,40987.80859375,69823.5078125,184530.765625,1067.68994140625
2018-01-10,1317.4000244140625,2748.22998046875,7153.56982421875,2499.75,5.530353546142578,,34.17140197753906,39719.12109375,66191.5859375,181403.15625,1071.739990234375
2018-01-11,1320.5999755859375,2767.56005859375,7211.77978515625,2487.909912109375,5.540241718292236,,33.94797897338867,39231.1796875,65919.21875,179252.90625,1069.6700439453125
2018-01-12,1333.4000244140625,2786.239990234375,7261.06005859375,2496.419921875,5.513045310974121,,34.080379486083984,39198.6484375,67553.5625,177689.078125,1065.1400146484375
2018-01-15,,,,2503.72998046875,,,,39475.16015625,66009.9921875,180034.828125,1055.800048828125
2018-01-16,1335.4000244140625,2776.419921875,7223.68994140625,2521.739990234375,5.442085266113281,,34.94087219238281,40662.4921875,67553.5625,176516.203125,1061.8199462890625
2018-01-17,1338.0,2802.56005859375,7298.27978515625,2515.429931640625,5.556064605712891,,35.68552780151367,40353.46484375,67281.1796875,173584.046875,1062.4599609375
2018-01-18,1326.0,2798.030029296875,7296.0498046875,2515.81005859375,5.549141883850098,,36.87697219848633,40581.17578125,68279.953125,176516.203125,1066.56005859375
2018-01-19,1331.9000244140625,2810.300048828125,7336.3798828125,2520.260009765625,5.689330577850342,,36.959720611572266,40109.49609375,66554.7734375,172215.703125,1069.68994140625
2018-01-22,1330.9000244140625,2832.969970703125,7408.02978515625,2502.110107421875,5.777842998504639,,38.37455749511719,39231.1796875,64557.2421875,174561.421875,1066.3599853515625
2018-01-23,1335.699951171875,2839.1298828125,7460.2900390625,2536.60009765625,5.906904697418213,,38.29180908203125,39979.37109375,64738.82421875,173779.515625,1068.81005859375
2018-01-24,1355.9000244140625,2837.5400390625,7415.06005859375,2538.0,5.830011367797852,,37.505775451660156,40125.74609375,65737.609375,171629.265625,1072.760009765625
2018-01-25,1362.4000244140625,2839.25,7411.16015625,2562.22998046875,5.843609809875488,,37.315486907958984,40873.9453125,68824.734375,178471.0,1064.4000244140625
2018-01-26,1351.5999755859375,2872.8701171875,7505.77001953125,2574.760009765625,6.01618766784668,,37.82847213745117,41296.828125,68552.328125,181207.671875,1064.8900146484375
2018-01-29,,2853.530029296875,7466.509765625,2598.18994140625,6.10321569442749,,37.5637092590332,41654.67578125,68370.75,182185.0625,1063.1300048828125
2018-01-30,1335.4000244140625,2822.429931640625,7402.47998046875,2567.739990234375,6.00110387802124,,37.13346862792969,40499.85546875,66373.1796875,181989.59375,1069.7900390625
2018-01-31,1339.0,2823.81005859375,7411.47998046875,2566.4599609375,6.077255725860596,,37.4892463684082,40581.17578125,66736.390625,177884.5625,1072.5400390625
2018-02-01,1344.300048828125,2821.97998046875,7385.85986328125,2568.5400390625,5.9462151527404785,,37.605072021484375,40516.11328125,67553.5625,180425.75,1069.02001953125
2018-02-02,1333.699951171875,2762.1298828125,7240.9501953125,2525.389892578125,5.773641586303711,,36.827327728271484,38792.01953125,65555.9921875,176907.15625,1071.1800537109375
2018-02-05,1333.0,2648.93994140625,6967.52978515625,2491.75,5.283603191375732,,35.536598205566406,38970.94140625,63740.04296875,171824.75,1090.010009765625
2018-02-06,1326.0999755859375,2695.139892578125,7115.8798828125,2453.31005859375,5.577328205108643,,36.06611633300781,38564.3125,63740.04296875,166351.359375,1093.300048828125
2018-02-07,1311.5999755859375,2681.659912109375,7051.97998046875,2396.56005859375,5.656940460205078,,34.651283264160156,37246.8515625,64557.2421875,164787.5625,1079.260009765625
2018-02-08,1316.9000244140625,2581.0,6777.16015625,2407.6201171875,5.378049850463867,,33.393646240234375,37409.5,67099.5546875,164787.5625,1089.4200439453125
2018-02-09,1313.0999755859375,2619.550048828125,6874.490234375,2363.77001953125,5.738036155700684,,34.31205368041992,36352.27734375,66645.5703125,157945.859375,1095.8599853515625
2018-02-12,1324.199951171875,2656.0,6981.9599609375,2385.3798828125,5.637902736663818,,35.18907928466797,37181.79296875,67644.3515625,156382.03125,1083.1700439453125
2018-02-13,1328.0999755859375,2662.93994140625,7013.509765625,2395.18994140625,5.751635551452637,,35.06498718261719,38661.90625,70549.890625,157359.390625,1082.6099853515625
2018-02-14,1355.5,2698.6298828125,7143.6201171875,2421.830078125,5.968962669372559,,35.61934280395508,39849.25390625,70459.078125,158532.25,1083.77001953125
2018-02-15,1352.0999755859375,2731.199951171875,7256.43017578125,,6.094562530517578,,36.00820541381836,,,,1070.010009765625
2018-02-16,1353.199951171875,2732.219970703125,7239.47021484375,,6.028797149658203,,35.97511291503906,,,,1063.0699462890625
2018-02-19,,,,2442.820068359375,,,,39345.0234375,69460.3046875,160291.5625,1065.6300048828125
2018-02-20,1328.800048828125,2716.260009765625,7234.31005859375,2415.1201171875,6.158351898193359,,36.190242767333984,38548.046875,68552.328125,157750.375,1066.7099609375
2018-02-21,1330.0,2701.330078125,7218.22998046875,2429.64990234375,5.971187114715576,,35.486942291259766,38450.46875,69823.5078125,162832.796875,1072.5400390625
2018-02-22,1330.5999755859375,2703.9599609375,7210.08984375,2414.280029296875,5.990731716156006,,35.07324981689453,38027.55859375,68915.5390625,161659.921875,1074.8599853515625
2018-02-23,1328.199951171875,2747.300048828125,7337.39013671875,2451.52001953125,6.084247589111328,,36.32261657714844,38401.66796875,70186.703125,162050.875,1080.0799560546875
2018-02-26,1330.699951171875,2779.60009765625,7421.4599609375,2457.64990234375,6.10032844543457,,36.74458694458008,38531.79296875,70368.2890625,158336.796875,1075.0
2018-02-27,1315.5,2744.280029296875,7330.35009765625,2456.139892578125,6.087464332580566,,36.09095001220703,38531.79296875,71457.859375,157163.9375,1069.699951171875
2018-02-28,1315.5,2713.830078125,7273.009765625,2427.360107421875,5.987021446228027,,35.86754608154297,38271.546875,69732.703125,156968.453125,1079.3900146484375
2018-03-01,1302.9000244140625,2677.669921875,7180.56005859375,,5.744819641113281,,35.34627914428711,,,,1085.3499755859375
2018-03-02,1321.0999755859375,2691.25,7257.8701171875,2402.159912109375,5.851941108703613,,35.58623123168945,37425.76171875,70277.5078125,153645.34375,1081.949951171875
2018-03-05,1318.0999755859375,2720.93994140625,7330.7099609375,2375.06005859375,5.829924583435059,,35.98338317871094,36758.90234375,71094.6796875,152276.984375,1079.2099609375
2018-03-06,1333.5999755859375,2728.1201171875,7372.009765625,2411.409912109375,5.990979194641113,,36.02475357055664,38239.01171875,74817.3828125,155600.09375,1076.6600341796875
2018-03-07,1326.0,2726.800048828125,7396.64990234375,2401.820068359375,5.983062744140625,,36.570831298828125,39540.21484375,75089.7734375,155404.640625,1063.1600341796875
2018-03-08,1319.9000244140625,2738.969970703125,7427.9501953125,2433.080078125,5.966733932495117,,36.2398796081543,40011.8984375,75816.15625,156186.546875,1066.1500244140625
2018-03-09,1322.4000244140625,2786.570068359375,7560.81005859375,2459.449951171875,6.069404125213623,,36.89352798461914,40451.046875,75634.5625,156772.953125,1073.4599609375
2018-03-12,1319.4000244140625,2783.02001953125,7588.31982421875,2484.1201171875,6.178999900817871,,37.41478729248047,40451.046875,77087.328125,157554.890625,1064.050048828125
